"exp_table$target_id","Coculture_01_N","Coculture_02_N","Coculture_03_N","Coculture_04_N","Ecoli_01_N","Ecoli_02_N","Ecoli_03_N","Ecoli_04_N"
"HW372_RS00340__HW372_RS00340_68395",0,0,0,0,0,0,0,0
"HW372_RS00345__HW372_RS00345_68734",0,0,0,0,0,0,0,0
"HW372_RS00350__HW372_RS00350_69837",0,0,0,0,0,0,0,0
"HW372_RS00355__HW372_RS00355_70769",0,0,0,0,0,0,0,0
"HW372_RS00360__HW372_RS00360_71677",0,0,0,0,0,0,0,0
"HW372_RS00365__HW372_RS00365_72590",0,0,0,0,0,0,0,0
"yicH__HW372_RS00370_rc_75023",0,0,0,0,0,0,0,0
"xanP__HW372_RS00375_rc_76535",0,0,0,0,0,0,0,0
"gltS__HW372_RS00380_76815",0,0,0,0,0,0,0,0
"recG__HW372_RS00385_rc_80135",0,0,0,0,0,0,0,0
"trmH__HW372_RS00390_rc_80830",0,0,0,0,0,0,0,0
"spoT__HW372_RS00395_rc_82945",0,0,0,0,0,0,0,0
"rpoZ__HW372_RS00400_rc_83239",0,0,0,0,0,0,0,0
"gmk__HW372_RS00405_rc_83917",0,0,0,0,0,0,0,0
"ligB__HW372_RS00410_84175",0,0,0,0,0,0,0,0
"yicG__HW372_RS00415_rc_86471",0,0,0,0,0,0,0,0
"dinD__HW372_RS00420_rc_87587",0,0,0,0,0,0,0,0
"yicC__HW372_RS00425_rc_88672",0,0,0,0,0,1794.02,0,0
"rph__HW372_RS00430_88799",0,0,0,0,0,0,0,0
"pyrE__HW372_RS00435_89581",0,0,0,0,0,0,0,0
"slmA__HW372_RS00440_rc_90855",0,0,0,0,0,0,0,0
"dut__HW372_RS00445_rc_91420",0,0,0,0,0,0,0,0
"coaBC__HW372_RS00450_rc_92618",0,0,0,0,0,0,0,0
"radC__HW372_RS00455_92790",0,0,0,0,0,0,0,0
"rpmB__HW372_RS00460_93675",0,0,0,0,0,0,0,0
"rpmG__HW372_RS00465_93932",0,0,0,0,0,0,0,0
"mutM__HW372_RS00470_94197",0,0,0,0,0,0,0,0
"coaD__HW372_RS00475_rc_95524",0,0,0,0,0,0,0,0
"waaA__HW372_RS00480_rc_96809",0,0,0,0,0,0,0,0
"rfaQ__HW372_RS00485_97222",0,0,0,0,0,0,0,0
"waaG__HW372_RS00490_98277",0,0,0,0,0,0,0,0
"rfaP__HW372_RS00495_99394",0,0,0,0,0,0,0,0
"waaO__HW372_RS00500_100207",0,0,0,0,0,0,0,0
"HW372_RS00505__HW372_RS00505_101240",0,0,0,0,0,0,0,0
"rfaY__HW372_RS00510_102245",0,0,0,0,0,0,0,0
"HW372_RS00515__HW372_RS00515_102963",0,0,0,0,0,0,0,0
"HW372_RS00520__HW372_RS00520_104073",0,0,0,0,0,0,0,0
"HW372_RS00525__HW372_RS00525_105102",0,0,0,0,0,0,0,0
"rfaC__HW372_RS00530_rc_107405",0,0,0,0,0,0,0,0
"rfaF__HW372_RS00535_rc_108455",0,0,0,0,0,0,0,0
"rfaD__HW372_RS00540_rc_109397",0,0,0,0,0,0,0,0
"kbl__HW372_RS00545_109611",0,0,0,0,0,0,0,0
"tdh__HW372_RS00550_110817",0,0,0,0,1662.06,0,0,0
"waaH__HW372_RS00555_112081",0,0,0,0,0,0,0,0
"yibQ__HW372_RS00560_rc_114061",0,0,0,0,0,0,0,0
"envC__HW372_RS00565_rc_115324",0,0,0,0,0,0,0,0
"gpmM__HW372_RS00570_rc_116902",0,0,0,0,0,0,0,0
"yibN__HW372_RS00575_117147",0,0,0,0,0,0,0,0
"grxC__HW372_RS00580_117719",0,0,0,0,0,0,0,0
"secB__HW372_RS00585_118034",0,0,0,0,0,0,0,0
"gpsA__HW372_RS00590_118501",0,0,0,0,0,0,0,0
"cysE__HW372_RS00595_119600",0,0,0,0,0,0,0,0
"trmL__HW372_RS00600_rc_120949",0,0,0,0,0,0,0,0
"lldD__HW372_RS00605_rc_122187",0,0,0,0,0,0,0,0
"lldR__HW372_RS00610_rc_122960",0,0,0,0,0,0,0,0
"lldP__HW372_RS00615_rc_124615",0,0,0,0,0,0,0,0
"upaG__HW372_RS00620_rc_130363",270.871,0,0,0,0,0,0,0
"HW372_RS00625__HW372_RS00625_rc_131090",0,0,0,0,0,0,0,0
"yibL__HW372_RS00630_rc_132011",0,0,0,0,0,0,0,0
"yibT__HW372_RS00635_132295",0,0,0,0,0,0,0,0
"mtlR__HW372_RS00640_rc_133102",0,0,0,0,2898.03,0,0,0
"mtlD__HW372_RS00645_rc_134250",0,0,0,0,0,0,0,0
"mtlA__HW372_RS00650_rc_136583",0,0,0,0,0,0,0,0
"yibI__HW372_RS00655_137120",0,0,0,0,0,0,0,0
"yibH__HW372_RS00660_137485",0,0,0,0,0,0,0,0
"yibF__HW372_RS00665_138692",0,0,0,0,0,0,0,0
"selA__HW372_RS00670_139398",0,0,0,0,0,1114.02,0,0
"selB__HW372_RS00675_140786",0,0,0,0,0,0,0,0
"yiaY__HW372_RS00680_142821",0,0,0,0,0,0,0,0
"HW372_RS00685__HW372_RS00685_144102",0,0,0,0,0,0,0,0
"aldB__HW372_RS00690_145505",0,0,0,0,0,0,0,0
"araD__HW372_RS00695_rc_147785",0,0,0,0,0,0,0,0
"sgbU__HW372_RS00700_rc_148639",0,0,0,0,0,0,0,0
"ulaD__HW372_RS00705_rc_149294",0,0,0,0,0,0,0,0
"lyxK__HW372_RS00710_rc_150787",0,0,0,0,0,0,0,0
"yiaO__HW372_RS00715_rc_151777",0,0,0,0,0,0,0,0
"yiaN__HW372_RS00720_rc_153067",0,0,0,0,0,0,0,0
"yiaM__HW372_RS00725_rc_153537",0,0,0,0,0,0,0,0
"HW372_RS00730__HW372_RS00730_rc_154571",0,0,0,0,0,0,0,0
"yiaL__HW372_RS00735_rc_155058",0,0,0,0,0,0,0,0
"yiaK__HW372_RS00740_rc_156068",0,0,0,0,0,0,0,0
"yiaJ__HW372_RS00745_156269",0,0,0,0,0,0,0,0
"ysaA__HW372_RS00750_157219",0,0,0,0,0,0,0,0
"avtA__HW372_RS00755_rc_159097",0,0,0,0,0,0,0,0
"malS__HW372_RS00760_rc_161305",0,0,0,0,0,0,0,0
"bax__HW372_RS00765_161625",0,0,0,0,0,0,0,0
"xylR__HW372_RS00770_rc_163735",0,0,0,0,0,0,0,0
"xylH__HW372_RS00775_rc_164994",0,0,0,0,0,0,0,0
"xylG__HW372_RS00780_rc_166513",0,0,0,0,0,0,0,0
"xylF__HW372_RS00785_rc_167583",0,0,0,0,0,0,0,0
"xylA__HW372_RS00790_167949",0,0,0,0,0,0,0,0
"xylB__HW372_RS00795_169343",0,0,0,0,0,0,0,0
"yiaB__HW372_RS00800_170966",0,0,0,0,0,0,0,0
"yiaA__HW372_RS00805_171353",0,0,0,0,0,0,0,0
"wecH__HW372_RS00810_rc_172827",0,0,0,0,0,0,0,0
"ysaB__HW372_RS00815_173002",0,0,0,0,0,0,0,0
"glyQ__HW372_RS00820_173396",0,0,0,0,0,0,0,0
"glyS__HW372_RS00825_174317",0,0,0,0,0,0,0,0
"hokA__HW372_RS00830_176709",0,0,0,0,0,0,0,0
"HW372_RS00835__HW372_RS00835_rc_176909",0,0,0,0,0,0,0,0
"cspA__HW372_RS00840_rc_177261",0,0,0,0,7976.35,0,0,22671.9
"yiaG__HW372_RS00845_rc_177832",0,0,0,0,0,0,0,0
"yiaF__HW372_RS00850_178266",0,0,0,0,0,0,0,0
"ghrB__HW372_RS00855_rc_180000",0,0,0,0,0,0,0,0
"yiaD__HW372_RS00860_rc_180763",0,0,0,0,0,0,0,0
"bisC__HW372_RS00865_180916",0,0,0,0,0,0,0,0
