"exp_table$target_id","Coculture_01_M","Coculture_02_M","Coculture_03_M","Coculture_04_M","SMutans_01_M","SMutans_02_M","SMutans_03_M","SMutans_04_M"
"HW372_RS00290__HW372_RS00290_56043",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00295__HW372_RS00295_56531",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00300__HW372_RS00300_58396",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00305__HW372_RS00305_58911",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00310__HW372_RS00310_rc_61646",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00315__HW372_RS00315_rc_62041",NA,NA,NA,NA,NA,NA,NA,NA
"yicJ__HW372_RS00320_62334",NA,NA,NA,NA,NA,NA,NA,NA
"yicI__HW372_RS00325_63726",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00330__HW372_RS00330_66327",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00335__HW372_RS00335_67907",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00340__HW372_RS00340_68395",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00345__HW372_RS00345_68734",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00350__HW372_RS00350_69837",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00355__HW372_RS00355_70769",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00360__HW372_RS00360_71677",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00365__HW372_RS00365_72590",NA,NA,NA,NA,NA,NA,NA,NA
"yicH__HW372_RS00370_rc_75023",NA,NA,NA,NA,NA,NA,NA,NA
"xanP__HW372_RS00375_rc_76535",NA,NA,NA,NA,NA,NA,NA,NA
"gltS__HW372_RS00380_76815",NA,NA,NA,NA,NA,NA,NA,NA
"recG__HW372_RS00385_rc_80135",NA,NA,NA,NA,NA,NA,NA,NA
"trmH__HW372_RS00390_rc_80830",NA,NA,NA,NA,NA,NA,NA,NA
"spoT__HW372_RS00395_rc_82945",NA,NA,NA,NA,NA,NA,NA,NA
"rpoZ__HW372_RS00400_rc_83239",NA,NA,NA,NA,NA,NA,NA,NA
"gmk__HW372_RS00405_rc_83917",NA,NA,NA,NA,NA,NA,NA,NA
"ligB__HW372_RS00410_84175",NA,NA,NA,NA,NA,NA,NA,NA
"yicG__HW372_RS00415_rc_86471",NA,NA,NA,NA,NA,NA,NA,NA
"dinD__HW372_RS00420_rc_87587",NA,NA,NA,NA,NA,NA,NA,NA
"yicC__HW372_RS00425_rc_88672",NA,NA,NA,NA,NA,NA,NA,NA
"rph__HW372_RS00430_88799",NA,NA,NA,NA,NA,NA,NA,NA
"pyrE__HW372_RS00435_89581",NA,NA,NA,NA,NA,NA,NA,NA
